id,psi,x,y,z
5000,0.24951705804718,0,0,0
15025,0.72120913651135,1.25e-05,0,0
15018,1.0638044088783,2.5e-05,0,0
15012,1.5000037520458,5e-05,0,0
15024,1.7409370665607,7.5e-05,0,0
15003,1.8784229512141,0.0001,0,0
15013,2.0031170913692,0.00015,0,0
5001,2.0436600768324,0.0002,0,0
15014,2.0570937599723,0.00025,0,0
15006,2.0616374532958,0.0003,0,0
5002,2.0636469771402,0.0004,0,0
5003,2.0637772892392,0.0006,0,0
5004,2.0637769382305,0.0008,0,0
5005,2.0637952485608,0.001,0,0
5006,2.063810893786,0.0012,0,0
5007,2.0638269196285,0.0014,0,0
5008,2.0638428911131,0.0016,0,0
5009,2.0638588703609,0.0018,0,0
5010,2.0638748484999,0.002,0,0
5011,2.0638908267973,0.0022,0,0
5012,2.0639068050721,0.0024,0,0
5013,2.0639227833501,0.0026,0,0
5014,2.0639387616277,0.0028,0,0
5015,2.0639547399053,0.003,0,0
5016,2.0639707181829,0.0032,0,0
5017,2.0639866964605,0.0034,0,0
5018,2.0640026747381,0.0036,0,0
5019,2.0640186530157,0.0038,0,0
5020,2.0640346312933,0.004,0,0
5021,2.0640506095709,0.0042,0,0
5022,2.0640665878485,0.0044,0,0
5023,2.0640825661262,0.0046,0,0
5024,2.0640985444038,0.0048,0,0
5025,2.0641145226814,0.005,0,0
5026,2.064130500959,0.0052,0,0
5027,2.0641464792366,0.0054,0,0
5028,2.0641624575142,0.0056,0,0
5029,2.0641784357918,0.0058,0,0
5030,2.0641944140694,0.006,0,0
5031,2.064210392347,0.0062,0,0
5032,2.0642263706246,0.0064,0,0
5033,2.0642423489022,0.0066,0,0
5034,2.0642583271798,0.0068,0,0
5035,2.0642743054574,0.007,0,0
5036,2.064290283735,0.0072,0,0
5037,2.0643062620127,0.0074,0,0
5038,2.0643222402903,0.0076,0,0
5039,2.0643382185679,0.0078,0,0
5040,2.0643541968455,0.008,0,0
5041,2.0643701751231,0.0082,0,0
5042,2.0643861534007,0.0084,0,0
5043,2.0644021316783,0.0086,0,0
5044,2.0644181099559,0.0088,0,0
5045,2.0644340882335,0.009,0,0
5046,2.0644500665111,0.0092,0,0
5047,2.0644660447887,0.0094,0,0
5048,2.0644820230663,0.0096,0,0
5049,2.0644980013439,0.0098,0,0
5050,2.0645139796216,0.01,0,0
5051,2.0645299578992,0.0102,0,0
5052,2.0645459361768,0.0104,0,0
5053,2.0645619144544,0.0106,0,0
5054,2.064577892732,0.0108,0,0
5055,2.0645938710096,0.011,0,0
5056,2.0646098492872,0.0112,0,0
5057,2.0646258275648,0.0114,0,0
5058,2.0646418058424,0.0116,0,0
