time,cp_0,cp_1,psi_0,psi_1,psi_e_0,psi_e_1,psi_e_left,psi_e_right,rho_e_0,rho_e_1,rho_e_left,rho_e_right
0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
1,0.31063994441859,0.33658844629892,-0.10753588419351,-0.14417059976697,-0.10753588419351,-0.14417059976697,0,-0.15493653251147,1.5144264106986,1.5162856342208,1.6868870791901,1.4999999999625
2,0.29708235764808,0.30432564984908,0.034943730746704,0.07605183516741,0.034943730746704,0.076051835166515,0,0.003105029787008,1.6091588667049,1.6136587097063,1.5538793574674,1.4999999999625
3,0.28167272801973,0.27543038400541,0.10854270904856,0.22365004179188,0.10854270904856,0.22365004179188,0,0.09154880658415,1.721487953445,1.7119788650601,1.5443837263308,1.4999999999625
4,0.2876395945876,0.26962148640169,0.1137762103764,0.29532030269415,0.1137762103764,0.29532030269415,0,0.1684112967498,1.7305499173912,1.7031029445729,1.5443988061113,1.4999999999625
5,0.29370256277433,0.26389973617031,0.11904300443443,0.36709599758104,0.11904300443443,0.36709599758104,0,0.24534612958547,1.7397352408244,1.6943299594428,1.544428706762,1.4999999999625
6,0.29986669626319,0.2582633407137,0.12434378318471,0.43902141312448,0.12434378318471,0.43902141312448,0,0.32239968941719,1.7490539151563,1.6856552039471,1.5444798286237,1.4999999999625
7,0.30613495786499,0.25270977694016,0.12968260987844,0.51114069840957,0.12968260987844,0.51114069840957,0,0.39961890398119,1.7585128669991,1.6770729209805,1.5445504920758,1.4999999999625
8,0.31251038927091,0.24723659277981,0.13506080591834,0.58349557270837,0.13506080591834,0.58349557270837,0,0.47704824250711,1.7681192861747,1.6685775140145,1.5446433541763,1.4999999999625
9,0.3189961077773,0.24184140469428,0.14048125900366,0.6561297105659,0.14048125900366,0.6561297105659,0,0.55473410687399,1.777880634467,1.6601635328203,1.5447587522565,1.4999999999625
10,0.32559530848498,0.2365218943686,0.14595515830525,0.72909556900709,0.14595515830525,0.72909556900709,0,0.63273166584119,1.7878046630314,1.6518256581604,1.5448843007144,1.4999999999625
11,0.33231126502461,0.23127580690486,0.15147939372306,0.80243187032267,0.15147939372306,0.80243187032267,0,0.71108234366757,1.7978994278869,1.6435586890094,1.5450298239693,1.4999999999625
12,0.33914732958784,0.22610094950348,0.1570539220799,0.87618104984736,0.1570539220799,0.87618104984736,0,0.78983127344389,1.8081733045811,1.6353575307207,1.5452005243629,1.4999999999625
13,0.34610693321165,0.22099518987343,0.1626908742302,0.9503984473748,0.1626908742302,0.9503984473748,0,0.86903649452106,1.8186350033192,1.6272171829045,1.5453829035735,1.4999999999625
14,0.35319358800258,0.21595645327456,0.16838438293573,1.0251222243535,0.16838438293573,1.0251222243535,0,0.94873887732044,1.8292935869193,1.6191327251768,1.5455914101413,1.4999999999625
15,0.36041088544229,0.21098272244114,0.17414320163909,1.1004060558346,0.17414320163909,1.1004060558346,0,1.0289948203748,1.8401584825659,1.6110993075015,1.5458180118669,1.4999999999625
16,0.36776249783107,0.20607203523117,0.17996862005768,1.1762971316,0.17996862005768,1.1762971316,0,1.1098542590844,1.8512394976881,1.6031121368609,1.5460663407383,1.4999999999625
17,0.37525217799139,0.20122248357567,0.18585855064884,1.2528403183157,0.18585855064884,1.2528403183157,0,1.1913648345872,1.8625468322752,1.5951664658871,1.5463453782156,1.4999999999625
