time,cp_0,cp_1,psi_0,psi_1,psi_e_0,psi_e_1,psi_e_left,psi_e_right,rho_e_0,rho_e_1,rho_e_left,rho_e_right
0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
1,0.3045073536511,0.34599838966171,-0.16633964443756,-0.30317451263579,-0.16633964443756,-0.30317451263579,0,-0.31193830955813,1.5111374137711,1.5132134696294,1.7863067517151,1.4999999999925
2,0.28397916300915,0.31844086606179,0.013290341970925,-0.12774697549708,0.013290341970925,-0.12774697549803,0,-0.20478419619619,1.6003815503804,1.6202480249793,1.5792339184239,1.4999999999925
3,0.26575061975397,0.2874723479391,0.085336354443576,-0.013599430740705,0.085336354443576,-0.013599430740705,0,-0.17329091944093,1.6957054305312,1.7598947913349,1.5568450761561,1.4999999999925
4,0.26623153905562,0.28703011633893,0.085732778978799,-0.008913677816349,0.085732778978799,-0.008913677816349,0,-0.16819350281181,1.6963966344618,1.7591692053394,1.5568605286546,1.4999999999925
5,0.26665395386347,0.2865923359828,0.086085729741057,-0.004557996877362,0.086085729741057,-0.004557996877362,0,-0.16342953432194,1.6970037833684,1.7584498720705,1.5568665309364,1.4999999999925
6,0.26707360348526,0.28615895135794,0.086437042985014,-0.00023718337484636,0.086437042985014,-0.00023718337484638,0,-0.15870415093267,1.6976065731891,1.75773738523,1.5568708872124,1.4999999999925
7,0.26170452332829,0.28572748623815,0.10879530293905,0.00085584382061482,0.10879530293905,0.0008558438206148,0,-0.15720811848809,1.7286512163246,1.7570279471962,1.5501904560143,1.4999999999925
8,0.26353168436902,0.28529710644311,0.10224409752341,0.0050414604328158,0.10224409752341,0.0050414604328157,0,-0.1526200409699,1.7217793146155,1.7563197594335,1.5543695984781,1.4999999999925
9,0.26393225309294,0.28486743952793,0.10263811562554,0.0093308043935319,0.10263811562554,0.0093308043935319,0,-0.14792857936337,1.7224577709005,1.7556124670022,1.5543687377313,1.4999999999925
10,0.26433426644342,0.28443836369012,0.10303402459209,0.013626057204564,0.10303402459209,0.013626057204564,0,-0.14323142854602,1.7231383218414,1.7549058517126,1.5543665729186,1.4999999999925
11,0.26473673273888,0.2840098312197,0.10342970662452,0.017920623045929,0.10342970662452,0.017920623045929,0,-0.13853513841841,1.723819297994,1.7541998322634,1.5543648973144,1.4999999999925
12,0.26513966821105,0.28358182164168,0.10382606073328,0.022215578497441,0.10382606073328,0.022215578497441,0,-0.13383861323303,1.724500728655,1.7534943744731,1.5543623387401,1.4999999999925
13,0.26554307514193,0.28315433090813,0.10422284542568,0.026510716360972,0.10422284542568,0.026510716360972,0,-0.12914205636259,1.7251826188934,1.7527894711522,1.5543592770672,1.4999999999925
14,0.26594695824943,0.28272735327256,0.10461808787735,0.030804114908749,0.10461808787735,0.030804114908749,0,-0.12444738413604,1.7258649775199,1.7520851123614,1.5543587883133,1.4999999999925
