cp_ODE,id,x,y,z
0.011700548947141,4000,0.000125,0,0
0.011700606000148,4001,0.000375,0,0
0.011700579559047,4002,0.000625,0,0
0.011700583337886,4003,0.000875,0,0
0.011700582555717,4004,0.001125,0,0
0.011700582707763,4005,0.001375,0,0
0.011700582678032,4006,0.001625,0,0
0.01170058268386,4007,0.001875,0,0
0.011700582682542,4008,0.002125,0,0
0.011700582682885,4009,0.002375,0,0
0.011700582682724,4010,0.002625,0,0
0.011700582682916,4011,0.002875,0,0
0.011700582682779,4012,0.003125,0,0
0.011700582682742,4013,0.003375,0,0
0.011700582682889,4014,0.003625,0,0
0.011700582682731,4015,0.003875,0,0
0.011700582682876,4016,0.004125,0,0
0.01170058268274,4017,0.004375,0,0
0.011700582682734,4018,0.004625,0,0
0.01170058268287,4019,0.004875,0,0
0.011700582682799,4020,0.005125,0,0
0.011700582682729,4021,0.005375,0,0
0.011700582682899,4022,0.005625,0,0
0.011700582682774,4023,0.005875,0,0
0.011700582682774,4024,0.006125,0,0
0.011700582682774,4025,0.006375,0,0
0.011700582682821,4026,0.006625,0,0
0.01170058268286,4027,0.006875,0,0
0.011700582682821,4028,0.007125,0,0
0.01170058268286,4029,0.007375,0,0
0.011700582682774,4030,0.007625,0,0
0.011700582682841,4031,0.007875,0,0
0.011700582682907,4032,0.008125,0,0
0.011700582682774,4033,0.008375,0,0
0.011700582682841,4034,0.008625,0,0
0.011700582682841,4035,0.008875,0,0
0.011700582682774,4036,0.009125,0,0
0.011700582682841,4037,0.009375,0,0
0.011700582682841,4038,0.009625,0,0
0.011700582682755,4039,0.009875,0,0
0.011700582682813,4040,0.010125,0,0
0.011700582682821,4041,0.010375,0,0
0.011700582682841,4042,0.010625,0,0
0.011700582682841,4043,0.010875,0,0
0.011700582682774,4044,0.011125,0,0
0.011700582682841,4045,0.011375,0,0
0.011700582682755,4046,0.011625,0,0
0.01170058268286,4047,0.011875,0,0
0.011700582682841,4048,0.012125,0,0
0.01170058268286,4049,0.012375,0,0
0.011700582682735,4050,0.012625,0,0
0.011700582682813,4051,0.012875,0,0
0.011700582682821,4052,0.013125,0,0
0.011700582682841,4053,0.013375,0,0
0.011700582682774,4054,0.013625,0,0
0.011700582682888,4055,0.013875,0,0
0.011700582682794,4056,0.014125,0,0
0.011700582682774,4057,0.014375,0,0
0.011700582682841,4058,0.014625,0,0
0.011700582682841,4059,0.014875,0,0
0.011700582682755,4060,0.015125,0,0
0.01170058268286,4061,0.015375,0,0
0.011700582682774,4062,0.015625,0,0
0.01170058268286,4063,0.015875,0,0
0.011700582682755,4064,0.016125,0,0
0.011700582682907,4065,0.016375,0,0
0.011700582682755,4066,0.016625,0,0
0.011700582682794,4067,0.016875,0,0
0.011700582682841,4068,0.017125,0,0
0.01170058268286,4069,0.017375,0,0
0.011700582682821,4070,0.017625,0,0
0.011700582682841,4071,0.017875,0,0
0.011700582682774,4072,0.018125,0,0
0.011700582682841,4073,0.018375,0,0
0.011700582682774,4074,0.018625,0,0
0.011700582682841,4075,0.018875,0,0
0.011700582682774,4076,0.019125,0,0
0.011700582682907,4077,0.019375,0,0
0.011700582682774,4078,0.019625,0,0
0.011700582682841,4079,0.019875,0,0
0.011700582682821,4080,0.020125,0,0
0.011700582682794,4081,0.020375,0,0
0.011700582682774,4082,0.020625,0,0
0.011700582682794,4083,0.020875,0,0
0.011700582682888,4084,0.021125,0,0
0.011700582682821,4085,0.021375,0,0
0.011700582682813,4086,0.021625,0,0
0.011700582682755,4087,0.021875,0,0
0.011700582682841,4088,0.022125,0,0
0.011700582682841,4089,0.022375,0,0
0.011700582682774,4090,0.022625,0,0
0.011700582682841,4091,0.022875,0,0
0.011700582682841,4092,0.023125,0,0
0.011700582682841,4093,0.023375,0,0
0.011700582682755,4094,0.023625,0,0
0.01170058268286,4095,0.023875,0,0
0.011700582682708,4096,0.024125,0,0
0.011700582682907,4097,0.024375,0,0
0.011700582682774,4098,0.024625,0,0
0.01170058268286,4099,0.024875,0,0
0.011700582682802,4100,0.025125,0,0
0.01170058268286,4101,0.025375,0,0
0.011700582682708,4102,0.025625,0,0
0.01170058268286,4103,0.025875,0,0
0.011700582682821,4104,0.026125,0,0
0.011700582682841,4105,0.026375,0,0
0.011700582682841,4106,0.026625,0,0
0.011700582682841,4107,0.026875,0,0
0.011700582682774,4108,0.027125,0,0
0.011700582682841,4109,0.027375,0,0
0.011700582682774,4110,0.027625,0,0
0.011700582682841,4111,0.027875,0,0
0.011700582682841,4112,0.028125,0,0
0.011700582682821,4113,0.028375,0,0
0.01170058268286,4114,0.028625,0,0
0.011700582682774,4115,0.028875,0,0
0.011700582682794,4116,0.029125,0,0
0.011700582682755,4117,0.029375,0,0
0.011700582682907,4118,0.029625,0,0
0.011700582682755,4119,0.029875,0,0
0.01170058268286,4120,0.030125,0,0
0.011700582682841,4121,0.030375,0,0
