cn_ODE,id,x,y,z
0,4000,0.000125,0,0
0,4001,0.000375,0,0
0,4002,0.000625,0,0
0,4003,0.000875,0,0
0,4004,0.001125,0,0
0,4005,0.001375,0,0
0,4006,0.001625,0,0
0,4007,0.001875,0,0
0,4008,0.002125,0,0
0,4009,0.002375,0,0
0,4010,0.002625,0,0
0,4011,0.002875,0,0
0,4012,0.003125,0,0
0,4013,0.003375,0,0
0,4014,0.003625,0,0
0,4015,0.003875,0,0
0,4016,0.004125,0,0
0,4017,0.004375,0,0
0,4018,0.004625,0,0
0,4019,0.004875,0,0
0,4020,0.005125,0,0
0,4021,0.005375,0,0
0,4022,0.005625,0,0
0,4023,0.005875,0,0
0,4024,0.006125,0,0
0,4025,0.006375,0,0
0,4026,0.006625,0,0
0,4027,0.006875,0,0
0,4028,0.007125,0,0
0,4029,0.007375,0,0
0,4030,0.007625,0,0
0,4031,0.007875,0,0
0,4032,0.008125,0,0
0,4033,0.008375,0,0
0,4034,0.008625,0,0
0,4035,0.008875,0,0
0,4036,0.009125,0,0
0,4037,0.009375,0,0
0,4038,0.009625,0,0
0,4039,0.009875,0,0
0,4040,0.010125,0,0
0,4041,0.010375,0,0
0,4042,0.010625,0,0
0,4043,0.010875,0,0
0,4044,0.011125,0,0
0,4045,0.011375,0,0
0,4046,0.011625,0,0
0,4047,0.011875,0,0
0,4048,0.012125,0,0
0,4049,0.012375,0,0
0,4050,0.012625,0,0
0,4051,0.012875,0,0
0,4052,0.013125,0,0
0,4053,0.013375,0,0
0,4054,0.013625,0,0
0,4055,0.013875,0,0
0,4056,0.014125,0,0
0,4057,0.014375,0,0
0,4058,0.014625,0,0
0,4059,0.014875,0,0
0,4060,0.015125,0,0
0,4061,0.015375,0,0
0,4062,0.015625,0,0
0,4063,0.015875,0,0
0,4064,0.016125,0,0
0,4065,0.016375,0,0
0,4066,0.016625,0,0
0,4067,0.016875,0,0
0,4068,0.017125,0,0
0,4069,0.017375,0,0
0,4070,0.017625,0,0
0,4071,0.017875,0,0
0,4072,0.018125,0,0
0,4073,0.018375,0,0
0,4074,0.018625,0,0
