ci_ODE,id,x,y,z
7.3685678932772e-05,121,-1.93925,0,0
7.4292149373051e-05,122,-1.93875,0,0
7.4898621680751e-05,123,-1.93825,0,0
7.5505091772563e-05,124,-1.93775,0,0
7.61115641864e-05,125,-1.93725,0,0
7.6718035746451e-05,126,-1.93675,0,0
7.7324506906893e-05,127,-1.93625,0,0
7.7930978121901e-05,128,-1.93575,0,0
7.8537450753149e-05,129,-1.93525,0,0
7.9143922532323e-05,130,-1.93475,0,0
7.97503939136e-05,131,-1.93425,0,0
8.0356867166149e-05,132,-1.93375,0,0
8.0963339114159e-05,133,-1.93325,0,0
8.1569811573052e-05,134,-1.93275,0,0
8.2176284543257e-05,135,-1.93225,0,0
8.2782757117703e-05,136,-1.93175,0,0
8.3389229750568e-05,137,-1.93125,0,0
8.399570244228e-05,138,-1.93075,0,0
8.4602175647015e-05,139,-1.93025,0,0
8.5208649365201e-05,140,-1.92975,0,0
8.5815122236021e-05,141,-1.92925,0,0
8.6421595621147e-05,142,-1.92875,0,0
8.7028069974758e-05,143,-1.92825,0,0
8.7634543482286e-05,144,-1.92775,0,0
8.8241017051656e-05,145,-1.92725,0,0
8.8847491137046e-05,146,-1.92675,0,0
8.9453965285134e-05,147,-1.92625,0,0
9.0060439950097e-05,148,-1.92575,0,0
9.0666913771118e-05,149,-1.92525,0,0
9.1273388563618e-05,150,-1.92475,0,0
9.187986296678e-05,151,-1.92425,0,0
9.2486337888529e-05,152,-1.92375,0,0
9.3092812875545e-05,153,-1.92325,0,0
9.3699288382004e-05,154,-1.92275,0,0
9.4305763954586e-05,155,-1.92225,0,0
9.491223868622e-05,156,-1.92175,0,0
9.5518713938582e-05,157,-1.92125,0,0
9.6125189712099e-05,158,-1.92075,0,0
9.673166555345e-05,159,-1.92025,0,0
9.7338141463064e-05,160,-1.91975,0,0
9.7944617441368e-05,161,-1.91925,0,0
9.855109394254e-05,162,-1.91875,0,0
9.9157570059509e-05,163,-1.91825,0,0
9.9764046700201e-05,164,-1.91775,0,0
0.00010037052386504,165,-1.91725,0,0
0.00010097700019322,166,-1.91675,0,0
0.00010158347750015,167,-1.91625,0,0
0.00010218995487877,168,-1.91575,0,0
0.00010279643187576,169,-1.91525,0,0
0.00010340290939903,170,-1.91475,0,0
0.00010400938699528,171,-1.91425,0,0
0.00010461586466492,172,-1.91375,0,0
0.00010522234286214,173,-1.91325,0,0
0.00010582882113362,174,-1.91275,0,0
0.00010643529902603,175,-1.91225,0,0
0.00010704177744729,176,-1.91175,0,0
0.00010764825639785,177,-1.91125,0,0
0.00010825473451687,178,-1.91075,0,0
0.00010886121407354,179,-1.91025,0,0
0.00010946769279953,180,-1.90975,0,0
0.00011007417160277,181,-1.90925,0,0
0.00011068065139118,182,-1.90875,0,0
0.00011128713080396,183,-1.90825,0,0
