cp,id,x,y,z
0.14645,4571,0.14275,0,0
0.14645,4572,0.143,0,0
0.14645,4573,0.14325,0,0
0.14645,4574,0.1435,0,0
0.14645,4575,0.14375,0,0
0.14645,4576,0.144,0,0
0.14645,4577,0.14425,0,0
0.14645,4578,0.1445,0,0
0.14645,4579,0.14475,0,0
0.14645,4580,0.145,0,0
0.14645,4581,0.14525,0,0
0.14645,4582,0.1455,0,0
0.14645,4583,0.14575,0,0
0.14645,4584,0.146,0,0
0.14645,4585,0.14625,0,0
0.14645,4586,0.1465,0,0
0.14645,4587,0.14675,0,0
0.14645,4588,0.147,0,0
0.14645,4589,0.14725,0,0
0.14645,4590,0.1475,0,0
0.14645,4591,0.14775,0,0
0.14645,4592,0.148,0,0
0.14645,4593,0.14825,0,0
0.14645,4594,0.1485,0,0
0.14645,4595,0.14875,0,0
0.14645,4596,0.149,0,0
0.14645,4597,0.14925,0,0
0.14645,4598,0.1495,0,0
0.14645,4599,0.14975,0,0
0.14645,4600,0.15,0,0
0.14645,4601,0.15025,0,0
0.14645,4602,0.1505,0,0
0.14645,4603,0.15075,0,0
0.14645,4604,0.151,0,0
0.14645,4605,0.15125,0,0
0.14645,4606,0.1515,0,0
0.14645,4607,0.15175,0,0
0.14645,4608,0.152,0,0
0.14645,4609,0.15225,0,0
0.14645,4610,0.1525,0,0
0.14645,4611,0.15275,0,0
0.14645,4612,0.153,0,0
0.14645,4613,0.15325,0,0
0.14645,4614,0.1535,0,0
0.14645,4615,0.15375,0,0
0.14645,4616,0.154,0,0
0.14645,4617,0.15425,0,0
0.14645,4618,0.1545,0,0
0.14645,4619,0.15475,0,0
0.14645,4620,0.155,0,0
0.14645,4621,0.15525,0,0
0.14645,4622,0.1555,0,0
0.14645,4623,0.15575,0,0
0.14645,4624,0.156,0,0
0.14645,4625,0.15625,0,0
0.14645,4626,0.1565,0,0
0.14645,4627,0.15675,0,0
0.14645,4628,0.157,0,0
0.14645,4629,0.15725,0,0
0.14645,4630,0.1575,0,0
0.14645,4631,0.15775,0,0
0.14645,4632,0.158,0,0
0.14645,4633,0.15825,0,0
0.14645,4634,0.1585,0,0
0.14645,4635,0.15875,0,0
0.14645,4636,0.159,0,0
0.14645,4637,0.15925,0,0
0.14645,4638,0.1595,0,0
0.14645,4639,0.15975,0,0
0.14645,4640,0.16,0,0
0.14645,4641,0.16025,0,0
0.14645,4642,0.1605,0,0
0.14645,4643,0.16075,0,0
0.14645,4644,0.161,0,0
0.14645,4645,0.16125,0,0
0.14645,4646,0.1615,0,0
0.14645,4647,0.16175,0,0
0.14645,4648,0.162,0,0
0.14645,4649,0.16225,0,0
0.14645,4650,0.1625,0,0
0.14645,4651,0.16275,0,0
0.14645,4652,0.163,0,0
0.14645,4653,0.16325,0,0
0.14645,4654,0.1635,0,0
0.14645,4655,0.16375,0,0
0.14645,4656,0.164,0,0
0.14645,4657,0.16425,0,0
0.14645,4658,0.1645,0,0
0.14645,4659,0.16475,0,0
0.14645,4660,0.165,0,0
0.14645,4661,0.16525,0,0
0.14645,4662,0.1655,0,0
0.14645,4663,0.16575,0,0
0.14645,4664,0.166,0,0
0.14645,4665,0.16625,0,0
0.14645,4666,0.1665,0,0
0.14645,4667,0.16675,0,0
0.14645,4668,0.167,0,0
0.14645,4669,0.16725,0,0
0.14645,4670,0.1675,0,0
0.14645,4671,0.16775,0,0
0.14645,4672,0.168,0,0
0.14645,4673,0.16825,0,0
0.14645,4674,0.1685,0,0
0.14645,4675,0.16875,0,0
0.14645,4676,0.169,0,0
0.14645,4677,0.16925,0,0
0.14645,4678,0.1695,0,0
0.14645,4679,0.16975,0,0
0.14645,4680,0.17,0,0
0.14645,4681,0.17025,0,0
0.14645,4682,0.1705,0,0
0.14645,4683,0.17075,0,0
0.14645,4684,0.171,0,0
0.14645,4685,0.17125,0,0
0.14645,4686,0.1715,0,0
0.14645,4687,0.17175,0,0
0.14645,4688,0.172,0,0
0.14645,4689,0.17225,0,0
0.14645,4690,0.1725,0,0
0.14645,4691,0.17275,0,0
0.14645,4692,0.173,0,0
0.14645,4693,0.17325,0,0
0.14645,4694,0.1735,0,0
0.14645,4695,0.17375,0,0
0.14645,4696,0.174,0,0
0.14645,4697,0.17425,0,0
0.14645,4698,0.1745,0,0
0.14645,4699,0.17475,0,0
0.14645,4700,0.175,0,0
0.14645,4701,0.17525,0,0
0.14645,4702,0.1755,0,0
0.14645,4703,0.17575,0,0
0.14645,4704,0.176,0,0
0.14645,4705,0.17625,0,0
0.14645,4706,0.1765,0,0
0.14645,4707,0.17675,0,0
0.14645,4708,0.177,0,0
0.14645,4709,0.17725,0,0
0.14645,4710,0.1775,0,0
0.14645,4711,0.17775,0,0
0.14645,4712,0.178,0,0
0.14645,4713,0.17825,0,0
0.14645,4714,0.1785,0,0
0.14645,4715,0.17875,0,0
0.14645,4716,0.179,0,0
0.14645,4717,0.17925,0,0
0.14645,4718,0.1795,0,0
0.14645,4719,0.17975,0,0
0.14645,4720,0.18,0,0
0.14645,4721,0.18025,0,0
0.14645,4722,0.1805,0,0
0.14645,4723,0.18075,0,0
0.14645,4724,0.181,0,0
0.14645,4725,0.18125,0,0
0.14645,4726,0.1815,0,0
0.14645,4727,0.18175,0,0
0.14645,4728,0.182,0,0
0.14645,4729,0.18225,0,0
0.14645,4730,0.1825,0,0
0.14645,4731,0.18275,0,0
0.14645,4732,0.183,0,0
0.14645,4733,0.18325,0,0
0.14645,4734,0.1835,0,0
0.14645,4735,0.18375,0,0
0.14645,4736,0.184,0,0
0.14645,4737,0.18425,0,0
0.14645,4738,0.1845,0,0
0.14645,4739,0.18475,0,0
0.14645,4740,0.185,0,0
0.14645,4741,0.18525,0,0
0.14645,4742,0.1855,0,0
0.14645,4743,0.18575,0,0
0.14645,4744,0.186,0,0
0.14645,4745,0.18625,0,0
0.14645,4746,0.1865,0,0
0.14645,4747,0.18675,0,0
0.14645,4748,0.187,0,0
0.14645,4749,0.18725,0,0
0.14645,4750,0.1875,0,0
0.14645,4751,0.18775,0,0
0.14645,4752,0.188,0,0
0.14645,4753,0.18825,0,0
0.14645,4754,0.1885,0,0
0.14645,4755,0.18875,0,0
0.14645,4756,0.189,0,0
0.14645,4757,0.18925,0,0
0.14645,4758,0.1895,0,0
0.14645,4759,0.18975,0,0
0.14645,4760,0.19,0,0
0.14645,4761,0.19025,0,0
0.14645,4762,0.1905,0,0
0.14645,4763,0.19075,0,0
0.14645,4764,0.191,0,0
0.14645,4765,0.19125,0,0
0.14645,4766,0.1915,0,0
0.14645,4767,0.19175,0,0
0.14645,4768,0.192,0,0
0.14645,4769,0.19225,0,0
0.14645,4770,0.1925,0,0
0.14645,4771,0.19275,0,0
0.14645,4772,0.193,0,0
0.14645,4773,0.19325,0,0
0.14645,4774,0.1935,0,0
0.14645,4775,0.19375,0,0
0.14645,4776,0.194,0,0
0.14645,4777,0.19425,0,0
0.14645,4778,0.1945,0,0
0.14645,4779,0.19475,0,0
0.14645,4780,0.195,0,0
0.14645,4781,0.19525,0,0
0.14645,4782,0.1955,0,0
0.14645,4783,0.19575,0,0
0.14645,4784,0.196,0,0
0.14645,4785,0.19625,0,0
0.14645,4786,0.1965,0,0
0.14645,4787,0.19675,0,0
0.14645,4788,0.197,0,0
0.14645,4789,0.19725,0,0
0.14645,4790,0.1975,0,0
0.14645,4791,0.19775,0,0
0.14645,4792,0.198,0,0
0.14645,4793,0.19825,0,0
0.14645,4794,0.1985,0,0
0.14645,4795,0.19875,0,0
0.14645,4796,0.199,0,0
0.14645,4797,0.19925,0,0
0.14645,4798,0.1995,0,0
0.14645,4799,0.19975,0,0
0.14645,4800,0.2,0,0
0.14645,4801,0.20025,0,0
0.14645,4802,0.2005,0,0
0.14645,4803,0.20075,0,0
0.14645,4804,0.201,0,0
0.14645,4805,0.20125,0,0
