time,cp_0,cp_1,psi_0,psi_1,psi_e_0,psi_e_1,psi_e_left,psi_e_right,rho_e_0,rho_e_1,rho_e_left,rho_e_right
0,0,0,0,0,0,0,0,2.57764994118,0,0,1.7918811175504,1.4999999999699
1,0.88902429689598,0.098889231524374,-0.19119312564811,2.6070012524924,-0.19119312564811,2.6070012524925,0,2.6096007835523,1.5335126977213,1.4960572411292,1.8598725808808,1.5000000000301
2,0.85764681033853,0.10384072345566,-0.18458558359625,2.5896786079587,-0.18458558359625,2.5896786079588,0,2.5919751455328,1.5326236113462,1.4965106067972,1.8462169237089,1.5000000000301
3,0.82907461197588,0.10876788542859,-0.17868415680928,2.5500679124527,-0.17868415680928,2.5500679124528,0,2.5520705095722,1.5317237988477,1.4969505575061,1.8339960954555,1.5000000000301
4,0.80250963605773,0.11373002567042,-0.17330085907365,2.4942984064,-0.17330085907365,2.4942984064001,0,2.4960122145735,1.5308153468665,1.4973829234793,1.8228283058593,1.5000000000301
5,0.77759226836215,0.1187327763694,-0.16834409837179,2.4268632278235,-0.16834409837179,2.4268632278236,0,2.428292867496,1.5299065011933,1.4978084935512,1.8125311788551,1.5000000000301
6,0.75406805681461,0.1237791170576,-0.16374843297597,2.3511035452661,-0.16374843297597,2.3511035452661,0,2.3522532905839,1.5290043808027,1.4982277807353,1.8029755451502,1.5000000000301
7,0.73174900006739,0.12887191411091,-0.15946565719096,2.2695372666416,-0.15946565719096,2.2695372666416,0,2.2704110737944,1.5281148402786,1.4986412562306,1.7940665619075,1.5000000000301
8,0.71049162103196,0.13401405896619,-0.15545930241867,2.1840748009367,-0.15545930241867,2.1840748009367,0,2.1846763265645,1.5272424832544,1.4990493642375,1.7857322656872,1.5000000000301
9,0.69018326965139,0.13920847971062,-0.15170117367916,2.0961640467967,-0.15170117367916,2.0961640467967,0,2.096496664178,1.526390746137,1.49945252523,1.777916479795,1.5000000000301
10,0.67073326806385,0.14445814600817,-0.14816911045314,2.0068946067042,-0.14816911045314,2.0068946067042,0,2.0069614202827,1.5255620276897,1.4998511384001,1.770574324687,1.5000000000301
11,0.65206701390574,0.14976607374456,-0.14484535163211,1.9170767512094,-0.14484535163211,1.9170767512093,0,1.9168806096255,1.5247578411429,1.5002455838605,1.7636690470235,1.5000000000301
12,0.63412194571857,0.15513532973581,-0.14171547643403,1.8273029027374,-0.14171547643403,1.8273029027373,0,1.8268464104911,1.5239789703581,1.5006362246604,1.7571700191603,1.5000000000301
13,0.6168447144057,0.16056903652664,-0.13876763856242,1.7379962788041,-0.13876763856242,1.7379962788041,0,1.7372818066606,1.5232256175933,1.5010234086412,1.7510513363866,1.5000000000301
14,0.60018915658791,0.16607037728832,-0.13599195900168,1.6494495732501,-0.13599195900168,1.6494495732501,0,1.6484792674831,1.5224975357111,1.5014074701519,1.7452907357931,1.5000000000301
15,0.58411481400562,0.17164260082505,-0.13338010355173,1.5618555893116,-0.13338010355173,1.5618555893115,0,1.5606313798692,1.5217941416741,1.5017887316439,1.7398688617969,1.5000000000301
16,0.56858583266366,0.17728902669817,-0.1309249628136,1.4753314038993,-0.1309249628136,1.4753314038993,0,1.4738550115624,1.5211146108635,1.5021675051609,1.7347687186113,1.5000000000301
17,0.55357013106629,0.18301305047765,-0.12862044232311,1.3899372697363,-0.12862044232311,1.3899372697362,0,1.3882102123322,1.5204579533822,1.5025440937403,1.7299753159752,1.5000000000301
18,0.53903876239551,0.18881814913023,-0.12646122885341,1.3056913941412,-0.12646122885341,1.3056913941412,0,1.3037149918657,1.5198230743572,1.5029187927368,1.725475269695,1.5000000000301
19,0.52496541853639,0.194707886554,-0.12444268098436,1.222581279178,-0.12444268098436,1.2225812791779,0,1.220356659069,1.5192088205691,1.5032918910832,1.721256616075,1.5000000000301
20,0.51132603929628,0.2006859192687,-0.12256071379605,1.1405724394074,-0.12256071379605,1.1405724394073,0,1.138100539009,1.5186140157396,1.5036636724979,1.717308611295,1.5000000000301
21,0.49809850061849,0.20675600227104,-0.12081168514564,1.0596150494426,-0.12081168514564,1.0596150494425,0,1.056896619688,1.5180374866214,1.5040344166484,1.713621530331,1.5000000000301
22,0.48526236279149,0.2129219950644,-0.11919236215857,0.97964889443366,-0.11919236215857,0.97964889443352,0,0.97668450177174,1.5174780817705,1.5044044002828,1.7101866023151,1.5000000000301
23,0.4727986647605,0.21918786787115,-0.11769986020585,0.900607092517,-0.11769986020585,0.90060709251686,0,0.89739712030062,1.5169346845926,1.5047738983348,1.706995895682,1.5000000000301
24,0.4606897542156,0.22555770803615,-0.11633160467648,0.8224188251349,-0.11633160467648,0.82241882513474,0,0.81896347428312,1.5164062219728,1.5051431850138,1.7040422413896,1.5000000000301
25,0.44891914573504,0.23203572662868,-0.11508525538066,0.74501136053597,-0.11508525538066,0.74501136053581,0,0.74131064947766,1.5158916695495,1.5055125348841,1.7013190912078,1.5000000000301
