cm_ODE,id,x,y,z
-6.5252057317087e-10,4000,0.000125,0,0
-1.0526373584634e-09,4001,0.000375,0,0
-1.0747131375479e-09,4002,0.000625,0,0
-1.0717470893553e-09,4003,0.000875,0,0
-1.0674338910789e-09,4004,0.001125,0,0
-1.0630494876492e-09,4005,0.001375,0,0
-1.0586617267885e-09,4006,0.001625,0,0
-1.054273579586e-09,4007,0.001875,0,0
-1.0498856632712e-09,4008,0.002125,0,0
-1.0454979331905e-09,4009,0.002375,0,0
-1.0411101319746e-09,4010,0.002625,0,0
-1.0367229206872e-09,4011,0.002875,0,0
-1.0323355422042e-09,4012,0.003125,0,0
-1.0279482370254e-09,4013,0.003375,0,0
-1.023561375704e-09,4014,0.003625,0,0
-1.0191744776143e-09,4015,0.003875,0,0
-1.0147878189497e-09,4016,0.004125,0,0
-1.0104012738184e-09,4017,0.004375,0,0
-1.0060149650609e-09,4018,0.004625,0,0
-1.0016287667855e-09,4019,0.004875,0,0
-9.972425683565e-10,4020,0.005125,0,0
-9.928569473619e-10,4021,0.005375,0,0
-9.8847098210203e-10,4022,0.005625,0,0
-9.8408571406584e-10,4023,0.005875,0,0
-9.7970020629751e-10,4024,0.006125,0,0
-9.7531493490306e-10,4025,0.006375,0,0
-9.7093024094299e-10,4026,0.006625,0,0
-9.6654531945575e-10,4027,0.006875,0,0
-9.6216074192677e-10,4028,0.007125,0,0
-9.5777628098236e-10,4029,0.007375,0,0
-9.5339216094498e-10,4030,0.007625,0,0
-9.4900816969716e-10,4031,0.007875,0,0
-9.4462427977773e-10,4032,0.008125,0,0
-9.4024086275962e-10,4033,0.008375,0,0
-9.3585720906064e-10,4034,0.008625,0,0
-9.3147402521176e-10,4035,0.008875,0,0
-9.2709094269129e-10,4036,0.009125,0,0
-9.2270845591274e-10,4037,0.009375,0,0
-9.1832572635086e-10,4038,0.009625,0,0
-9.1394346358785e-10,4039,0.009875,0,0
-9.095613174095e-10,4040,0.010125,0,0
-9.0517916802646e-10,4041,0.010375,0,0
-9.007977189185e-10,4042,0.010625,0,0
-8.9641626355464e-10,4043,0.010875,0,0
-8.9203492477544e-10,4044,0.011125,0,0
-8.8765381626775e-10,4045,0.011375,0,0
-8.8327317455901e-10,4046,0.011625,0,0
-8.7889264943496e-10,4047,0.011875,0,0
-8.7451223784436e-10,4048,0.012125,0,0
-8.7013205957655e-10,4049,0.012375,0,0
-8.657524526408e-10,4050,0.012625,0,0
-8.6137273491609e-10,4051,0.012875,0,0
-8.5699348399038e-10,4052,0.013125,0,0
-8.526143435469e-10,4053,0.013375,0,0
-8.482355562156e-10,4054,0.013625,0,0
-8.4385675652594e-10,4055,0.013875,0,0
-8.3947877995208e-10,4056,0.014125,0,0
-8.3510056669747e-10,4057,0.014375,0,0
-8.3072281719064e-10,4058,0.014625,0,0
-8.263451842686e-10,4059,0.014875,0,0
-8.2196801204311e-10,4060,0.015125,0,0
-8.1759083966432e-10,4061,0.015375,0,0
-8.132141279821e-10,4062,0.015625,0,0
-8.0883788920149e-10,4063,0.015875,0,0
-8.0446164111384e-10,4064,0.016125,0,0
-8.0008562940037e-10,4065,0.016375,0,0
-7.9571007533224e-10,4066,0.016625,0,0
-7.9133464090022e-10,4067,0.016875,0,0
-7.8695978085166e-10,4068,0.017125,0,0
-7.8258492675239e-10,4069,0.017375,0,0
-7.7821041966292e-10,4070,0.017625,0,0
-7.738361397939e-10,4071,0.017875,0,0
-7.6946255714901e-10,4072,0.018125,0,0
-7.6508874087473e-10,4073,0.018375,0,0
-7.6071550203521e-10,4074,0.018625,0,0
-7.5634261935935e-10,4075,0.018875,0,0
-7.5196984106335e-10,4076,0.019125,0,0
-7.4759753261786e-10,4077,0.019375,0,0
-7.4322545139288e-10,4078,0.019625,0,0
-7.3885384001844e-10,4079,0.019875,0,0
-7.3448233607516e-10,4080,0.020125,0,0
-7.3011130198242e-10,4081,0.020375,0,0
-7.2574037837214e-10,4082,0.020625,0,0
-7.21370035248e-10,4083,0.020875,0,0
-7.1699980870886e-10,4084,0.021125,0,0
-7.1263004591778e-10,4085,0.021375,0,0
-7.0826063013668e-10,4086,0.021625,0,0
-7.0389132788933e-10,4087,0.021875,0,0
-6.9952271981503e-10,4088,0.022125,0,0
-6.9515399790083e-10,4089,0.022375,0,0
-6.9078620058464e-10,4090,0.022625,0,0
-6.8641817269047e-10,4091,0.022875,0,0
-6.820508389694e-10,4092,0.023125,0,0
-6.776835050953e-10,4093,0.023375,0,0
-6.7331698213243e-10,4094,0.023625,0,0
-6.6895046206783e-10,4095,0.023875,0,0
-6.6458462702256e-10,4096,0.024125,0,0
-6.6021880097814e-10,4097,0.024375,0,0
-6.5585343563065e-10,4098,0.024625,0,0
-6.5148853708266e-10,4099,0.024875,0,0
-6.4712385965286e-10,4100,0.025125,0,0
-6.4275988860136e-10,4101,0.025375,0,0
-6.3839578845374e-10,4102,0.025625,0,0
-6.3403251447383e-10,4103,0.025875,0,0
-6.2966910834653e-10,4104,0.026125,0,0
-6.2530652228443e-10,4105,0.026375,0,0
-6.2094416954569e-10,4106,0.026625,0,0
-6.1658215161204e-10,4107,0.026875,0,0
-6.1222061268313e-10,4108,0.027125,0,0
-6.078592948725e-10,4109,0.027375,0,0
-6.0349856059963e-10,4110,0.027625,0,0
-5.9913817333702e-10,4111,0.027875,0,0
-5.9477824372025e-10,4112,0.028125,0,0
-5.9041832005325e-10,4113,0.028375,0,0
-5.8605931793329e-10,4114,0.028625,0,0
-5.8170032176314e-10,4115,0.028875,0,0
-5.7734201061254e-10,4116,0.029125,0,0
-5.729838221499e-10,4117,0.029375,0,0
-5.686263248094e-10,4118,0.029625,0,0
-5.6426906994628e-10,4119,0.029875,0,0
-5.5991238031337e-10,4120,0.030125,0,0
-5.5555581641975e-10,4121,0.030375,0,0
-5.5120005123259e-10,4122,0.030625,0,0
-5.4684440873347e-10,4123,0.030875,0,0
-5.4248923608549e-10,4124,0.031125,0,0
-5.381347423546e-10,4125,0.031375,0,0
-5.3378037436308e-10,4126,0.031625,0,0
-5.2942646706887e-10,4127,0.031875,0,0
-5.2507325699955e-10,4128,0.032125,0,0
-5.2072004677762e-10,4129,0.032375,0,0
-5.1636764136487e-10,4130,0.032625,0,0
-5.1201558601394e-10,4131,0.032875,0,0
-5.0766388072484e-10,4132,0.033125,0,0
-5.0331275287128e-10,4133,0.033375,0,0
-4.9896185223889e-10,4134,0.033625,0,0
-4.946117655696e-10,4135,0.033875,0,0
-4.9026179548596e-10,4136,0.034125,0,0
-4.8591228609978e-10,4137,0.034375,0,0
-4.8156347088734e-10,4138,0.034625,0,0
-4.7721500878814e-10,4139,0.034875,0,0
-4.7286688454573e-10,4140,0.035125,0,0
-4.6851958036912e-10,4141,0.035375,0,0
-4.6417238972696e-10,4142,0.035625,0,0
-4.5982565367976e-10,4143,0.035875,0,0
-4.5547950117085e-10,4144,0.036125,0,0
-4.5113393525156e-10,4145,0.036375,0,0
-4.4678870718914e-10,4146,0.036625,0,0
-4.4244394287563e-10,4147,0.036875,0,0
-4.3809976210049e-10,4148,0.037125,0,0
-4.3375603897171e-10,4149,0.037375,0,0
-4.2941266895635e-10,4150,0.037625,0,0
-4.2506998701235e-10,4151,0.037875,0,0
-4.2072765513051e-10,4152,0.038125,0,0
-4.1638590373583e-10,4153,0.038375,0,0
-4.1204461609018e-10,4154,0.038625,0,0
-4.0770390588043e-10,4155,0.038875,0,0
-4.0336353963029e-10,4156,0.039125,0,0
-3.9902363712924e-10,4157,0.039375,0,0
-3.9468443185358e-10,4158,0.039625,0,0
-3.9034569337835e-10,4159,0.039875,0,0
-3.8600740949834e-10,4160,0.040125,0,0
-3.8166959241878e-10,4161,0.040375,0,0
-3.7733235582655e-10,4162,0.040625,0,0
-3.7299581340849e-10,4163,0.040875,0,0
-3.6865949821204e-10,4164,0.041125,0,0
-3.6432364981613e-10,4165,0.041375,0,0
-3.5998872601943e-10,4166,0.041625,0,0
-3.5565403554701e-10,4167,0.041875,0,0
-3.5132003619754e-10,4168,0.042125,0,0
-3.4698628237763e-10,4169,0.042375,0,0
-3.4265342874653e-10,4170,0.042625,0,0
-3.3832082674764e-10,4171,0.042875,0,0
-3.3398902955863e-10,4172,0.043125,0,0
-3.2965746264269e-10,4173,0.043375,0,0
-3.2532658990113e-10,4174,0.043625,0,0
-3.2099641438528e-10,4175,0.043875,0,0
-3.1666658588072e-10,4176,0.044125,0,0
-3.1233733176112e-10,4177,0.044375,0,0
-3.0800877791862e-10,4178,0.044625,0,0
-3.0368057108745e-10,4179,0.044875,0,0
-2.9935304927683e-10,4180,0.045125,0,0
-2.9502600036969e-10,4181,0.045375,0,0
-2.9069975932392e-10,4182,0.045625,0,0
-2.8637386528957e-10,4183,0.045875,0,0
-2.8204855174296e-10,4184,0.046125,0,0
-2.7772382173543e-10,4185,0.046375,0,0
-2.7339965390777e-10,4186,0.046625,0,0
-2.6907607877318e-10,4187,0.046875,0,0
-2.6475319781326e-10,4188,0.047125,0,0
-2.6043077450037e-10,4189,0.047375,0,0
-2.5610892557272e-10,4190,0.047625,0,0
-2.5178778607639e-10,4191,0.047875,0,0
-2.4746709812452e-10,4192,0.048125,0,0
-2.4314687697374e-10,4193,0.048375,0,0
-2.3882758347407e-10,4194,0.048625,0,0
-2.3450886741104e-10,4195,0.048875,0,0
-2.3019037551887e-10,4196,0.049125,0,0
-2.2587270674501e-10,4197,0.049375,0,0
-2.2155572604337e-10,4198,0.049625,0,0
-2.1723920298897e-10,4199,0.049875,0,0
-2.1292361979111e-10,4200,0.050125,0,0
-2.0860814097472e-10,4201,0.050375,0,0
-2.0429347002011e-10,4202,0.050625,0,0
-1.9997962523529e-10,4203,0.050875,0,0
-1.9566611525699e-10,4204,0.051125,0,0
-1.9135329945371e-10,4205,0.051375,0,0
-1.8704129761496e-10,4206,0.051625,0,0
-1.8272963668546e-10,4207,0.051875,0,0
-1.784189156127e-10,4208,0.052125,0,0
-1.7410841260839e-10,4209,0.052375,0,0
-1.6979907073188e-10,4210,0.052625,0,0
-1.6548973785817e-10,4211,0.052875,0,0
-1.6118155085566e-10,4212,0.053125,0,0
-1.5687383065468e-10,4213,0.053375,0,0
-1.5256681378291e-10,4214,0.053625,0,0
-1.4826024540473e-10,4215,0.053875,0,0
-1.4395460772948e-10,4216,0.054125,0,0
-1.3964932011768e-10,4217,0.054375,0,0
-1.353447266812e-10,4218,0.054625,0,0
-1.3104105479372e-10,4219,0.054875,0,0
-1.2673786191328e-10,4220,0.055125,0,0
-1.2243534184888e-10,4221,0.055375,0,0
-1.1813341447838e-10,4222,0.055625,0,0
-1.1383229497017e-10,4223,0.055875,0,0
-1.0953174679655e-10,4224,0.056125,0,0
-1.0523167152742e-10,4225,0.056375,0,0
-1.0093274518113e-10,4226,0.056625,0,0
-9.6634178052548e-11,4227,0.056875,0,0
-9.2336292894156e-11,4228,0.057125,0,0
-8.8039111065357e-11,4229,0.057375,0,0
-8.3742503622634e-11,4230,0.057625,0,0
-7.9446943621418e-11,4231,0.057875,0,0
-7.5151604740447e-11,4232,0.058125,0,0
-7.08574361419e-11,4233,0.058375,0,0
-6.6563488663645e-11,4234,0.058625,0,0
-6.2270349047937e-11,4235,0.058875,0,0
-5.797802950019e-11,4236,0.059125,0,0
-5.3686640655928e-11,4237,0.059375,0,0
-4.9395466829354e-11,4238,0.059625,0,0
-4.5105232860344e-11,4239,0.059875,0,0
-4.0815803702675e-11,4240,0.060125,0,0
-3.6526718506319e-11,4241,0.060375,0,0
-3.2238797489948e-11,4242,0.060625,0,0
-2.7951214332249e-11,4243,0.060875,0,0
-2.3664567980907e-11,4244,0.061125,0,0
-1.937861275419e-11,4245,0.061375,0,0
-1.5093238016636e-11,4246,0.061625,0,0
-1.0808898515612e-11,4247,0.061875,0,0
-6.5249121301293e-12,4248,0.062125,0,0
-2.2418503457474e-12,4249,0.062375,0,0
2.0405142111849e-12,4250,0.062625,0,0
6.3221937460467e-12,4251,0.062875,0,0
1.0603169950701e-11,4252,0.063125,0,0
1.4883215451441e-11,4253,0.063375,0,0
1.9162812457776e-11,4254,0.063625,0,0
2.3441469606077e-11,4255,0.063875,0,0
2.7719205204444e-11,4256,0.064125,0,0
3.1996599892457e-11,4257,0.064375,0,0
3.6273177563264e-11,4258,0.064625,0,0
4.0548713894509e-11,4259,0.064875,0,0
4.4823672787586e-11,4260,0.065125,0,0
4.9097937504267e-11,4261,0.065375,0,0
5.3371271516786e-11,4262,0.065625,0,0
5.7644147880609e-11,4263,0.065875,0,0
6.1915863115178e-11,4264,0.066125,0,0
6.6187120700993e-11,4265,0.066375,0,0
7.0457561269374e-11,4266,0.066625,0,0
7.4727197025721e-11,4267,0.066875,0,0
7.8995782288179e-11,4268,0.067125,0,0
8.3264149480898e-11,4269,0.067375,0,0
8.7531466179669e-11,4270,0.067625,0,0
9.179785217401e-11,4271,0.067875,0,0
9.6063553145752e-11,4272,0.068125,0,0
1.003284401512e-10,4273,0.068375,0,0
1.0459274666675e-10,4274,0.068625,0,0
1.0885613163185e-10,4275,0.068875,0,0
1.1311869347648e-10,4276,0.069125,0,0
1.1738046881701e-10,4277,0.069375,0,0
1.2164164230794e-10,4278,0.069625,0,0
1.2590154708508e-10,4279,0.069875,0,0
1.301610003158e-10,4280,0.070125,0,0
1.3441974716411e-10,4281,0.070375,0,0
1.3867757856452e-10,4282,0.070625,0,0
1.4293435336782e-10,4283,0.070875,0,0
1.4719067662461e-10,4284,0.071125,0,0
1.514459585411e-10,4285,0.071375,0,0
1.5570054017776e-10,4286,0.071625,0,0
1.5995430479635e-10,4287,0.071875,0,0
1.642071600696e-10,4288,0.072125,0,0
