cn_ODE,id,x,y,z
-1.2606929389314e-08,4000,0.000125,0,0
-2.7505246344428e-09,4001,0.000375,0,0
-1.4900542822174e-09,4002,0.000625,0,0
-1.5774617160744e-09,4003,0.000875,0,0
-1.5492354067688e-09,4004,0.001125,0,0
-1.5576095413499e-09,4005,0.001375,0,0
-1.5585702312079e-09,4006,0.001625,0,0
-1.5611882290406e-09,4007,0.001875,0,0
-1.5632976532211e-09,4008,0.002125,0,0
-1.5656427994337e-09,4009,0.002375,0,0
-1.567915016462e-09,4010,0.002625,0,0
-1.5701957232269e-09,4011,0.002875,0,0
-1.5724951578225e-09,4012,0.003125,0,0
-1.5748180383173e-09,4013,0.003375,0,0
-1.5769742323774e-09,4014,0.003625,0,0
-1.5793361230355e-09,4015,0.003875,0,0
-1.5815537239214e-09,4016,0.004125,0,0
-1.5837378972009e-09,4017,0.004375,0,0
-1.5862130035296e-09,4018,0.004625,0,0
-1.5885687676322e-09,4019,0.004875,0,0
-1.5905171746983e-09,4020,0.005125,0,0
-1.5929973914682e-09,4021,0.005375,0,0
-1.5953388335041e-09,4022,0.005625,0,0
-1.5973988077656e-09,4023,0.005875,0,0
-1.6000570038843e-09,4024,0.006125,0,0
-1.6018399279802e-09,4025,0.006375,0,0
-1.6043548949746e-09,4026,0.006625,0,0
-1.6065392483401e-09,4027,0.006875,0,0
-1.6088561596785e-09,4028,0.007125,0,0
-1.6112313234377e-09,4029,0.007375,0,0
-1.6134813222361e-09,4030,0.007625,0,0
-1.6155790009021e-09,4031,0.007875,0,0
-1.6181296382022e-09,4032,0.008125,0,0
-1.6202372472656e-09,4033,0.008375,0,0
-1.6224677664475e-09,4034,0.008625,0,0
-1.6246460541626e-09,4035,0.008875,0,0
-1.6270221655417e-09,4036,0.009125,0,0
-1.6293996903138e-09,4037,0.009375,0,0
-1.6314963381745e-09,4038,0.009625,0,0
-1.6340388425218e-09,4039,0.009875,0,0
-1.6361629296964e-09,4040,0.010125,0,0
-1.6383555755551e-09,4041,0.010375,0,0
-1.6407260005648e-09,4042,0.010625,0,0
-1.6431631067457e-09,4043,0.010875,0,0
-1.6452605645055e-09,4044,0.011125,0,0
-1.6475299655626e-09,4045,0.011375,0,0
-1.6498589422822e-09,4046,0.011625,0,0
-1.6522610467849e-09,4047,0.011875,0,0
-1.6543086314345e-09,4048,0.012125,0,0
-1.656669660965e-09,4049,0.012375,0,0
-1.6589423206459e-09,4050,0.012625,0,0
-1.6612364423256e-09,4051,0.012875,0,0
-1.6633265266703e-09,4052,0.013125,0,0
-1.6659509858869e-09,4053,0.013375,0,0
-1.6680019767745e-09,4054,0.013625,0,0
-1.6701344693077e-09,4055,0.013875,0,0
-1.6728852836952e-09,4056,0.014125,0,0
-1.6747041069447e-09,4057,0.014375,0,0
-1.6772336242034e-09,4058,0.014625,0,0
-1.6795436224789e-09,4059,0.014875,0,0
-1.6814417074667e-09,4060,0.015125,0,0
-1.6842732335231e-09,4061,0.015375,0,0
-1.6860507643637e-09,4062,0.015625,0,0
-1.6886139005904e-09,4063,0.015875,0,0
-1.6907217171159e-09,4064,0.016125,0,0
-1.6930118901313e-09,4065,0.016375,0,0
-1.6952718051512e-09,4066,0.016625,0,0
-1.6978367457885e-09,4067,0.016875,0,0
-1.6997209742388e-09,4068,0.017125,0,0
-1.7019806744783e-09,4069,0.017375,0,0
-1.7044271389502e-09,4070,0.017625,0,0
-1.7065191375623e-09,4071,0.017875,0,0
-1.7091177035103e-09,4072,0.018125,0,0
-1.711046519775e-09,4073,0.018375,0,0
-1.7136815189003e-09,4074,0.018625,0,0
-1.7156978240733e-09,4075,0.018875,0,0
-1.7181418835409e-09,4076,0.019125,0,0
-1.7202482147636e-09,4077,0.019375,0,0
-1.7225459470805e-09,4078,0.019625,0,0
-1.7248818844594e-09,4079,0.019875,0,0
-1.7272179172209e-09,4080,0.020125,0,0
-1.7294617917678e-09,4081,0.020375,0,0
-1.7316127175269e-09,4082,0.020625,0,0
-1.7339873249007e-09,4083,0.020875,0,0
-1.7363058406143e-09,4084,0.021125,0,0
-1.7383732283792e-09,4085,0.021375,0,0
-1.7409148503485e-09,4086,0.021625,0,0
-1.7430335462194e-09,4087,0.021875,0,0
-1.7451756363814e-09,4088,0.022125,0,0
-1.7477667403891e-09,4089,0.022375,0,0
-1.7498186961895e-09,4090,0.022625,0,0
-1.7521129315207e-09,4091,0.022875,0,0
-1.754409922921e-09,4092,0.023125,0,0
-1.7565087655593e-09,4093,0.023375,0,0
-1.7590198253602e-09,4094,0.023625,0,0
-1.7612584454838e-09,4095,0.023875,0,0
-1.7635204612539e-09,4096,0.024125,0,0
-1.7657050716295e-09,4097,0.024375,0,0
-1.7681152942857e-09,4098,0.024625,0,0
-1.7702439732733e-09,4099,0.024875,0,0
-1.7725788735857e-09,4100,0.025125,0,0
-1.7749158571655e-09,4101,0.025375,0,0
-1.7772594455422e-09,4102,0.025625,0,0
-1.7792781848846e-09,4103,0.025875,0,0
-1.7816821307963e-09,4104,0.026125,0,0
-1.7840164212449e-09,4105,0.026375,0,0
-1.7859348466786e-09,4106,0.026625,0,0
-1.7885271286721e-09,4107,0.026875,0,0
-1.7907242442084e-09,4108,0.027125,0,0
-1.7930009480718e-09,4109,0.027375,0,0
-1.7951402158658e-09,4110,0.027625,0,0
-1.7976316075074e-09,4111,0.027875,0,0
-1.7998415858557e-09,4112,0.028125,0,0
-1.8019269467924e-09,4113,0.028375,0,0
-1.8043690864903e-09,4114,0.028625,0,0
-1.8065296812728e-09,4115,0.028875,0,0
-1.8089972398468e-09,4116,0.029125,0,0
-1.8110205664485e-09,4117,0.029375,0,0
-1.8135032630326e-09,4118,0.029625,0,0
-1.815636022117e-09,4119,0.029875,0,0
-1.8179361573783e-09,4120,0.030125,0,0
-1.8202171357359e-09,4121,0.030375,0,0
-1.8224936924188e-09,4122,0.030625,0,0
-1.8246650921162e-09,4123,0.030875,0,0
-1.8268857269793e-09,4124,0.031125,0,0
