cm_ODE,id,x,y,z
-2.8062172576589e-09,4116,0.029125,0,0
-2.8051729017847e-09,4117,0.029375,0,0
-2.8041287610435e-09,4118,0.029625,0,0
-2.8030852161627e-09,4119,0.029875,0,0
-2.8020414316677e-09,4120,0.030125,0,0
-2.8009984582015e-09,4121,0.030375,0,0
-2.799955601438e-09,4122,0.030625,0,0
-2.7989130856996e-09,4123,0.030875,0,0
-2.7978709262428e-09,4124,0.031125,0,0
-2.7968291169651e-09,4125,0.031375,0,0
-2.7957874121849e-09,4126,0.031625,0,0
-2.7947464077981e-09,4127,0.031875,0,0
-2.7937054064273e-09,4128,0.032125,0,0
-2.7926648567172e-09,4129,0.032375,0,0
-2.7916243222283e-09,4130,0.032625,0,0
-2.7905847063526e-09,4131,0.032875,0,0
-2.7895449737035e-09,4132,0.033125,0,0
-2.7885055851309e-09,4133,0.033375,0,0
-2.7874666634755e-09,4134,0.033625,0,0
-2.7864279844151e-09,4135,0.033875,0,0
-2.7853895204879e-09,4136,0.034125,0,0
-2.784351523478e-09,4137,0.034375,0,0
-2.7833138827498e-09,4138,0.034625,0,0
-2.7822763434681e-09,4139,0.034875,0,0
-2.7812393939444e-09,4140,0.035125,0,0
-2.7802026717592e-09,4141,0.035375,0,0
-2.7791659495388e-09,4142,0.035625,0,0
-2.7781300413989e-09,4143,0.035875,0,0
-2.7770940134344e-09,4144,0.036125,0,0
-2.7760587995504e-09,4145,0.036375,0,0
-2.7750233491037e-09,4146,0.036625,0,0
-2.7739884792612e-09,4147,0.036875,0,0
-2.7729540763362e-09,4148,0.037125,0,0
-2.7719197870629e-09,4149,0.037375,0,0
-2.7708857281794e-09,4150,0.037625,0,0
-2.769852246849e-09,4151,0.037875,0,0
-2.7688190020111e-09,4152,0.038125,0,0
-2.7677858677736e-09,4153,0.038375,0,0
-2.7667533110892e-09,4154,0.038625,0,0
-2.7657208772105e-09,4155,0.038875,0,0
-2.7646889010954e-09,4156,0.039125,0,0
-2.7636570416835e-09,4157,0.039375,0,0
-2.7626257628759e-09,4158,0.039625,0,0
-2.7615947144583e-09,4159,0.039875,0,0
-2.7605638964307e-09,4160,0.040125,0,0
-2.7595334346852e-09,4161,0.040375,0,0
-2.7585031880732e-09,4162,0.040625,0,0
-2.7574734144814e-09,4163,0.040875,0,0
-2.7564439819151e-09,4164,0.041125,0,0
-2.7554146813087e-09,4165,0.041375,0,0
-2.7543859429988e-09,4166,0.041625,0,0
-2.7533572107567e-09,4167,0.041875,0,0
-2.7523289393296e-09,4168,0.042125,0,0
-2.7513010211335e-09,4169,0.042375,0,0
-2.7502733241734e-09,4170,0.042625,0,0
-2.7492459804443e-09,4171,0.042875,0,0
-2.7482189868947e-09,4172,0.043125,0,0
-2.747192220684e-09,4173,0.043375,0,0
-2.7461661518161e-09,4174,0.043625,0,0
-2.7451398524883e-09,4175,0.043875,0,0
-2.7441140109244e-09,4176,0.044125,0,0
-2.7430886423809e-09,4177,0.044375,0,0
-2.7420636057091e-09,4178,0.044625,0,0
-2.7410385781566e-09,4179,0.044875,0,0
-2.7400142509982e-09,4180,0.045125,0,0
-2.7389899085484e-09,4181,0.045375,0,0
-2.7379661589087e-09,4182,0.045625,0,0
-2.7369424031315e-09,4183,0.045875,0,0
-2.7359192310104e-09,4184,0.046125,0,0
-2.7348963999151e-09,4185,0.046375,0,0
-2.7338734550982e-09,4186,0.046625,0,0
-2.7328513182598e-09,4187,0.046875,0,0
-2.7318293103302e-09,4188,0.047125,0,0
-2.7308075175343e-09,4189,0.047375,0,0
-2.72978595818e-09,4190,0.047625,0,0
-2.7287651022713e-09,4191,0.047875,0,0
-2.7277443569635e-09,4192,0.048125,0,0
-2.7267236116211e-09,4193,0.048375,0,0
-2.725703566673e-09,4194,0.048625,0,0
-2.7246838535969e-09,4195,0.048875,0,0
-2.7236641618454e-09,4196,0.049125,0,0
-2.7226450354422e-09,4197,0.049375,0,0
-2.7216260226913e-09,4198,0.049625,0,0
-2.7206074829611e-09,4199,0.049875,0,0
-2.7195889370937e-09,4200,0.050125,0,0
-2.7185713220457e-09,4201,0.050375,0,0
-2.7175532308565e-09,4202,0.050625,0,0
-2.7165360826922e-09,4203,0.050875,0,0
-2.7155189192366e-09,4204,0.051125,0,0
-2.7145022379559e-09,4205,0.051375,0,0
-2.7134857687578e-09,4206,0.051625,0,0
-2.7124696558423e-09,4207,0.051875,0,0
-2.7114536626818e-09,4208,0.052125,0,0
-2.7104383546592e-09,4209,0.052375,0,0
-2.7094229359667e-09,4210,0.052625,0,0
-2.7084082146174e-09,4211,0.052875,0,0
-2.7073933764955e-09,4212,0.053125,0,0
-2.7063792235115e-09,4213,0.053375,0,0
-2.7053651963854e-09,4214,0.053625,0,0
-2.7043515133366e-09,4215,0.053875,0,0
-2.7033380667812e-09,4216,0.054125,0,0
-2.7023251916769e-09,4217,0.054375,0,0
-2.7013120922159e-09,4218,0.054625,0,0
-2.7002999083179e-09,4219,0.054875,0,0
-2.6992876198528e-09,4220,0.055125,0,0
-2.6982759028388e-09,4221,0.055375,0,0
-2.69726430558e-09,4222,0.055625,0,0
-2.6962530585015e-09,4223,0.055875,0,0
-2.6952420296083e-09,4224,0.056125,0,0
-2.694231596577e-09,4225,0.056375,0,0
-2.6932211513061e-09,4226,0.056625,0,0
-2.6922111790564e-09,4227,0.056875,0,0
-2.6912015447815e-09,4228,0.057125,0,0
-2.6901921500515e-09,4229,0.057375,0,0
-2.6891829735068e-09,4230,0.057625,0,0
-2.688174276086e-09,4231,0.057875,0,0
-2.6871656892665e-09,4232,0.058125,0,0
-2.6861574434733e-09,4233,0.058375,0,0
-2.6851497813368e-09,4234,0.058625,0,0
-2.6841420054793e-09,4235,0.058875,0,0
-2.6831348010731e-09,4236,0.059125,0,0
-2.6821278423145e-09,4237,0.059375,0,0
-2.6811212154283e-09,4238,0.059625,0,0
-2.6801149478765e-09,4239,0.059875,0,0
-2.6791086711365e-09,4240,0.060125,0,0
-2.6781030947915e-09,4241,0.060375,0,0
-2.6770976290479e-09,4242,0.060625,0,0
-2.6760925226388e-09,4243,0.060875,0,0
-2.6750876313638e-09,4244,0.061125,0,0
-2.6740829796339e-09,4245,0.061375,0,0
-2.6730790221963e-09,4246,0.061625,0,0
-2.6720749510379e-09,4247,0.061875,0,0
-2.6710712239572e-09,4248,0.062125,0,0
-2.6700680805335e-09,4249,0.062375,0,0
-2.6690649248703e-09,4250,0.062625,0,0
-2.6680623650694e-09,4251,0.062875,0,0
-2.6670597899778e-09,4252,0.063125,0,0
-2.6660578046459e-09,4253,0.063375,0,0
-2.6650559329668e-09,4254,0.063625,0,0
-2.6640544084169e-09,4255,0.063875,0,0
-2.6630533416318e-09,4256,0.064125,0,0
-2.6620522748127e-09,4257,0.064375,0,0
-2.661051794702e-09,4258,0.064625,0,0
-2.6600514251929e-09,4259,0.064875,0,0
-2.6590514028131e-09,4260,0.065125,0,0
-2.6580517306139e-09,4261,0.065375,0,0
-2.6570524055441e-09,4262,0.065625,0,0
-2.6560531910758e-09,4263,0.065875,0,0
-2.6550544465778e-09,4264,0.066125,0,0
-2.6540559263683e-09,4265,0.066375,0,0
-2.6530577624422e-09,4266,0.066625,0,0
-2.6520599456455e-09,4267,0.066875,0,0
-2.6510622241936e-09,4268,0.067125,0,0
-2.650064874282e-09,4269,0.067375,0,0
-2.6490682156118e-09,4270,0.067625,0,0
-2.6480712005904e-09,4271,0.067875,0,0
-2.647074882913e-09,4272,0.068125,0,0
-2.6460787986782e-09,4273,0.068375,0,0
-2.6450830615729e-09,4274,0.068625,0,0
-2.6440874381207e-09,4275,0.068875,0,0
-2.6430923952744e-09,4276,0.069125,0,0
-2.6420973523943e-09,4277,0.069375,0,0
-2.6411030068584e-09,4278,0.069625,0,0
-2.6401084217095e-09,4279,0.069875,0,0
-2.639114543059e-09,4280,0.070125,0,0
-2.638120888697e-09,4281,0.070375,0,0
-2.637127461675e-09,4282,0.070625,0,0
-2.6361343878853e-09,4283,0.070875,0,0
-2.6351414277488e-09,4284,0.071125,0,0
-2.634149054321e-09,4285,0.071375,0,0
-2.6331566686541e-09,4286,0.071625,0,0
-2.6321649833828e-09,4287,0.071875,0,0
-2.6311733011292e-09,4288,0.072125,0,0
-2.6301819568511e-09,4289,0.072375,0,0
-2.62919085517e-09,4290,0.072625,0,0
-2.6282003279922e-09,4291,0.072875,0,0
-2.6272097977295e-09,4292,0.073125,0,0
-2.6262196176478e-09,4293,0.073375,0,0
-2.6252299014339e-09,4294,0.073625,0,0
-2.6242401821352e-09,4295,0.073875,0,0
-2.6232511571294e-09,4296,0.074125,0,0
-2.6222621412443e-09,4297,0.074375,0,0
-2.6212734572319e-09,4298,0.074625,0,0
-2.6202851356063e-09,4299,0.074875,0,0
-2.6192969215311e-09,4300,0.075125,0,0
-2.6183094017491e-09,4301,0.075375,0,0
-2.6173218880363e-09,4302,0.075625,0,0
-2.6163347122991e-09,4303,0.075875,0,0
-2.6153478989487e-09,4304,0.076125,0,0
-2.6143611809433e-09,4305,0.076375,0,0
-2.6133748253247e-09,4306,0.076625,0,0
-2.6123890442095e-09,4307,0.076875,0,0
-2.6114033797992e-09,4308,0.077125,0,0
-2.6104178259909e-09,4309,0.077375,0,0
-2.6094329786813e-09,4310,0.077625,0,0
-2.6084478856564e-09,4311,0.077875,0,0
-2.6074634960787e-09,4312,0.078125,0,0
-2.6064791003649e-09,4313,0.078375,0,0
-2.6054954080985e-09,4314,0.078625,0,0
-2.6045118264341e-09,4315,0.078875,0,0
-2.6035284782129e-09,4316,0.079125,0,0
-2.6025452405938e-09,4317,0.079375,0,0
-2.6015627033706e-09,4318,0.079625,0,0
