ci_ODE,id,x,y,z
7.3836921572834e-05,121,-1.93925,0,0
7.4444632574931e-05,122,-1.93875,0,0
7.5052343617969e-05,123,-1.93825,0,0
7.566005355544e-05,124,-1.93775,0,0
7.6267765254785e-05,125,-1.93725,0,0
7.6875475275809e-05,126,-1.93675,0,0
7.7483185339112e-05,127,-1.93625,0,0
7.8090896018448e-05,128,-1.93575,0,0
7.8698608460996e-05,129,-1.93525,0,0
7.9306317506295e-05,130,-1.93475,0,0
7.9914028315474e-05,131,-1.93425,0,0
8.0521739742023e-05,132,-1.93375,0,0
8.1129450066013e-05,133,-1.93325,0,0
8.1737159861199e-05,134,-1.93275,0,0
8.2344871421601e-05,135,-1.93225,0,0
8.2952581307025e-05,136,-1.93175,0,0
8.3560291238068e-05,137,-1.93125,0,0
8.416800236191e-05,138,-1.93075,0,0
8.4775712958619e-05,139,-1.93025,0,0
8.538342360195e-05,140,-1.92975,0,0
8.5991133718817e-05,141,-1.92925,0,0
8.6598844456397e-05,142,-1.92875,0,0
8.720655466818e-05,143,-1.92825,0,0
8.7814265501345e-05,144,-1.92775,0,0
8.8421975235961e-05,145,-1.92725,0,0
8.9029685592626e-05,146,-1.92675,0,0
8.9637396571675e-05,147,-1.92625,0,0
9.0245106453178e-05,148,-1.92575,0,0
9.0852816957732e-05,149,-1.92525,0,0
9.1460527512252e-05,150,-1.92475,0,0
9.2068237543649e-05,151,-1.92425,0,0
9.267594762568e-05,152,-1.92375,0,0
9.32836583321e-05,153,-1.92325,0,0
9.3891367942977e-05,154,-1.92275,0,0
9.4499078178913e-05,155,-1.92225,0,0
9.5106789040241e-05,156,-1.92175,0,0
9.5714498807029e-05,157,-1.92125,0,0
9.6322209773301e-05,158,-1.92075,0,0
9.6929919072278e-05,159,-1.92025,0,0
9.7537629571407e-05,160,-1.91975,0,0
9.8145339550755e-05,161,-1.91925,0,0
9.8753049584078e-05,162,-1.91875,0,0
9.9360760245133e-05,163,-1.91825,0,0
9.9968469813988e-05,164,-1.91775,0,0
0.00010057618001124,165,-1.91725,0,0
0.00010118388969039,166,-1.91675,0,0
0.0001017915999986,167,-1.91625,0,0
0.00010239930978937,168,-1.91575,0,0
0.00010300701963646,169,-1.91525,0,0
0.0001036147295402,170,-1.91475,0,0
0.00010422243950091,171,-1.91425,0,0
0.00010483015009237,172,-1.91375,0,0
0.00010543785902122,173,-1.91325,0,0
0.00010604556972831,174,-1.91275,0,0
0.00010665327877346,175,-1.91225,0,0
0.00010726098902411,176,-1.91175,0,0
0.00010786869933375,177,-1.91125,0,0
0.00010847640855586,178,-1.91075,0,0
0.00010908411783764,179,-1.91025,0,0
0.00010969182832624,180,-1.90975,0,0
0.00011029953772833,181,-1.90925,0,0
0.00011090724833792,182,-1.90875,0,0
0.00011151495728824,183,-1.90825,0,0
0.00011212266744674,184,-1.90775,0,0
0.00011273037709347,185,-1.90725,0,0
0.00011333808565535,186,-1.90675,0,0
0.00011394579599983,187,-1.90625,0,0
0.00011455350526013,188,-1.90575,0,0
0.00011516121458343,189,-1.90525,0,0
0.00011576892511691,190,-1.90475,0,0
0.00011637663456721,191,-1.90425,0,0
0.00011698434408151,192,-1.90375,0,0
0.00011759205366014,193,-1.90325,0,0
0.00011819976215661,194,-1.90275,0,0
0.00011880747186492,195,-1.90225,0,0
0.00011941518106514,196,-1.90175,0,0
0.00012002289147789,197,-1.90125,0,0
0.00012063060023637,198,-1.90075,0,0
0.00012123830906119,199,-1.90025,0,0
0.00012184601909954,200,-1.89975,0,0
0.00012245372805805,201,-1.89925,0,0
0.00012306143765732,202,-1.89875,0,0
0.00012366914675085,203,-1.89825,0,0
0.00012427685533897,204,-1.89775,0,0
