cp_ODE,id,x,y,z
0.00084806273971833,4132,0.033125,0,0
0.00084806273361037,4133,0.033375,0,0
0.00084806272683041,4134,0.033625,0,0
0.00084806272006698,4135,0.033875,0,0
0.00084806271350107,4136,0.034125,0,0
0.00084806270709771,4137,0.034375,0,0
0.00084806270050938,4138,0.034625,0,0
0.00084806269395311,4139,0.034875,0,0
0.00084806268729979,4140,0.035125,0,0
0.00084806268105186,4141,0.035375,0,0
0.00084806267397694,4142,0.035625,0,0
0.00084806266781643,4143,0.035875,0,0
0.00084806266083536,4144,0.036125,0,0
0.00084806265446389,4145,0.036375,0,0
0.00084806264805727,4146,0.036625,0,0
0.00084806264115051,4147,0.036875,0,0
0.00084806263481197,4148,0.037125,0,0
0.0008480626279435,4149,0.037375,0,0
0.00084806262186164,4150,0.037625,0,0
0.00084806261497724,4151,0.037875,0,0
0.00084806260834329,4152,0.038125,0,0
0.00084806260191321,4153,0.038375,0,0
0.0008480625953344,4154,0.038625,0,0
0.00084806258852149,4155,0.038875,0,0
0.00084806258239699,4156,0.039125,0,0
0.00084806257543768,4157,0.039375,0,0
0.00084806256890446,4158,0.039625,0,0
0.00084806256263978,4159,0.039875,0,0
0.00084806255574574,4160,0.040125,0,0
0.00084806254919898,4161,0.040375,0,0
0.00084806254277213,4162,0.040625,0,0
0.00084806253614098,4163,0.040875,0,0
0.00084806252941272,4164,0.041125,0,0
0.00084806252323849,4165,0.041375,0,0
0.00084806251628625,4166,0.041625,0,0
0.00084806251020978,4167,0.041875,0,0
0.00084806250323777,4168,0.042125,0,0
0.00084806249647998,4169,0.042375,0,0
0.00084806249033178,4170,0.042625,0,0
0.00084806248348316,4171,0.042875,0,0
0.00084806247724153,4172,0.043125,0,0
0.00084806247032394,4173,0.043375,0,0
0.00084806246392947,4174,0.043625,0,0
0.00084806245719105,4175,0.043875,0,0
0.00084806245071213,4176,0.044125,0,0
0.00084806244412574,4177,0.044375,0,0
0.00084806243754304,4178,0.044625,0,0
0.00084806243101823,4179,0.044875,0,0
0.00084806242440021,4180,0.045125,0,0
0.00084806241783624,4181,0.045375,0,0
0.00084806241123066,4182,0.045625,0,0
0.0008480624048717,4183,0.045875,0,0
0.0008480623980383,4184,0.046125,0,0
0.00084806239164402,4185,0.046375,0,0
0.00084806238481409,4186,0.046625,0,0
0.00084806237833152,4187,0.046875,0,0
0.00084806237210576,4188,0.047125,0,0
0.00084806236522358,4189,0.047375,0,0
0.00084806235892632,4190,0.047625,0,0
0.00084806235206692,4191,0.047875,0,0
0.00084806234541919,4192,0.048125,0,0
0.00084806233881639,4193,0.048375,0,0
